date, pm25, pm10, o3, no2, so2, co
2025/11/1, 45, 38, , 5, 1, 4
2025/11/2, 71, 35, , 4, , 4
2025/11/3, 73, 8, , 6, , 3
2025/11/4, 23, 18, , 8, 1, 3
2025/11/5, 36, 11, , 3, , 3
2025/11/6, 19, 32, , 7, 1, 4
2025/11/7, 58, 27, , 7, 1, 3
2025/11/8, 54, 35, , 9, 1, 4
2025/11/9, 69, 23, , 1, , 3
2025/11/10, 45, 14, , , , 3
2025/11/11, 29, , , , , 
2025/10/1, 58, 21, , 7, 2, 3
2025/10/2, 53, 24, , 7, 1, 2
2025/10/3, 60, 26, , 6, 1, 2
2025/10/4, 62, 25, , 9, 3, 2
2025/10/5, 57, 26, , 10, 4, 2
2025/10/6, 61, 26, , 4, 1, 1
2025/10/7, 58, 26, , 2, 1, 2
2025/10/8, 53, 24, , 2, , 2
2025/10/9, 57, 23, , 2, , 2
2025/10/10, 41, 25, , 3, 1, 2
2025/10/11, 45, 27, , 6, 2, 3
2025/10/12, 62, 21, , 4, 2, 1
2025/10/13, 57, 35, , 9, 3, 2
2025/10/14, 79, 21, , 4, 1, 1
2025/10/15, 48, 28, , 4, 2, 1
2025/10/16, 60, 28, , 4, 2, 1
2025/10/17, 63, 27, , 10, 1, 5
2025/10/18, 62, 18, , 4, 1, 4
2025/10/19, 35, 18, , 5, 1, 5
2025/10/20, 39, 9, , 4, , 5
2025/10/21, 22, 13, , 4, , 4
2025/10/22, 30, 16, , 4, 1, 5
2025/10/23, 40, 18, , 4, 1, 2
2025/10/24, 48, 21, , 5, 1, 
2025/10/25, 54, 35, , 6, 1, 3
2025/10/26, 67, 39, , 7, 1, 4
2025/10/27, 75, 21, , 6, 1, 4
2025/10/28, 52, 21, , 4, , 3
2025/10/29, 34, 28, , 9, 1, 3
2025/10/30, 50, 31, , 9, 1, 4
2025/10/31, 66, 22, , 5, 1, 3
2025/7/1, 49, 20, , 8, 1, 3
2025/7/2, 39, 24, , 5, , 3
2025/7/3, 47, 26, , 5, , 3
2025/7/4, 53, 10, , 6, , 3
2025/7/5, 27, 18, , 5, , 4
2025/7/6, 40, 32, , 9, 1, 5
2025/7/7, 58, 34, , 15, 2, 5
2025/7/8, 72, 31, , 11, 1, 5
2025/7/9, 76, 9, , 3, , 
2025/7/10, 34, 9, , 6, , 4
2025/7/12, 46, 34, , 5, , 4
2025/7/13, 64, 30, , 8, , 4
2025/7/14, 60, 27, , 10, , 5
2025/7/15, 61, 33, , 9, , 4
2025/7/16, 70, 32, , 10, , 5
2025/7/17, 66, 26, , 11, 1, 4
2025/7/18, 55, 16, , 3, , 
2025/7/19, 30, 16, , 3, , 3
2025/7/20, 32, 14, , 3, , 3
2025/7/21, 21, 16, , 11, , 4
2025/7/22, 55, 12, , 3, , 3
2025/7/23, 24, 17, , 3, , 3
2025/7/24, 33, 23, , 8, 1, 3
2025/7/25, 49, 23, , 11, , 4
2025/7/26, 55, 23, , 14, , 5
2025/7/27, 55, 13, , 9, , 6
2025/7/28, 37, 16, , 8, , 5
2025/7/29, 42, 22, , 7, , 5
2025/7/30, 51, 20, , 6, , 5
2025/7/31, 40, 23, , 6, , 5
2025/8/1, 51, 25, , 4, , 4
2025/8/2, 47, 13, , 4, , 3
2025/8/3, 31, 11, , 3, , 2
2025/8/4, 24, 12, , 4, , 3
2025/8/5, 32, 21, , 3, , 3
2025/8/6, 46, 30, , 6, 2, 5
2025/8/7, 59, 33, , 7, 1, 4
2025/8/8, 72, 17, , 5, , 3
2025/8/9, 35, 10, , 4, , 2
2025/8/10, 20, 14, , , 1, 2
2025/8/11, 30, 12, , 7, 1, 4
2025/8/12, 31, 18, , 3, 1, 4
2025/8/13, 31, 18, , 2, , 3
2025/8/14, 22, 19, , 4, 1, 2
2025/8/15, 32, 20, , 3, 1, 2
2025/8/16, 30, 16, , 2, 1, 2
2025/8/17, 32, 17, , 4, 1, 2
