date, pm25, pm10, o3, no2, so2, co
2025/11/1, 51, 39, , 5, 1, 3
2025/11/2, 75, 39, , 4, 1, 3
2025/11/3, 78, 10, , 4, 1, 2
2025/11/4, 24, 16, , 6, 1, 2
2025/11/5, 33, 12, , 1, 1, 1
2025/11/6, 22, 35, , 5, 1, 3
2025/11/7, 66, 28, , 4, 1, 2
2025/11/8, 59, 35, , 7, 1, 2
2025/11/9, 64, 27, , 2, 1, 2
2025/11/10, 44, 16, , 2, , 2
2025/11/11, 28, 8, , 3, , 2
2025/11/12, 24, 10, , 4, 1, 2
2025/11/13, 31, 22, 46, 4, 1, 2
2025/11/14, 43, 41, 54, 4, 1, 3
2025/11/15, 66, 33, 48, 5, 1, 2
2025/11/16, 60, , , , , 
2025/10/1, 63, 18, , 4, 1, 2
2025/10/2, 45, 26, , 5, 1, 2
2025/10/3, 63, 29, , 5, 1, 2
2025/10/4, 63, 21, , 5, 1, 2
2025/10/5, 50, 26, , 7, 1, 2
2025/10/6, 61, 28, , 6, 1, 2
2025/10/7, 60, 29, , 3, 1, 3
2025/10/8, 56, 29, , 3, 1, 3
2025/10/9, 59, 25, , 3, 1, 3
2025/10/10, 49, 25, , 4, 1, 3
2025/10/11, 50, 27, , 4, 1, 2
2025/10/12, 64, 21, , 3, 1, 2
2025/10/13, 61, 35, , 8, 2, 3
2025/10/14, 78, 22, , 5, 1, 2
2025/10/15, 51, 29, , 5, 1, 1
2025/10/16, 58, 29, , 4, 1, 1
2025/10/17, 64, 25, , 4, 1, 1
2025/10/18, 59, 21, , 3, 1, 2
2025/10/19, 40, 23, , 5, 1, 2
2025/10/20, 46, 12, , 3, 1, 2
2025/10/21, 29, 12, , 2, , 
2025/10/22, 30, 17, , 3, 1, 2
2025/10/23, 66, 22, , 3, 1, 2
2025/10/24, 85, 25, , 4, 1, 2
2025/10/25, 59, 39, , 6, 1, 3
2025/10/26, 72, 44, , 6, 1, 4
2025/10/27, 85, 23, , 5, 1, 3
2025/10/28, 55, 24, , 3, 1, 2
2025/10/29, 42, 35, , 5, 1, 2
2025/10/30, 68, 36, , 7, 1, 3
2025/10/31, 74, 25, , 5, 1, 3
2025/7/1, 38, 22, , 1, , 2
2025/7/2, 35, 28, , 2, , 3
2025/7/3, 52, 28, , 2, , 3
2025/7/4, 50, 12, , 1, , 2
2025/7/5, 20, 19, , 2, , 2
2025/7/6, 40, 28, , 4, 1, 4
2025/7/7, 55, 36, , 7, 1, 4
2025/7/8, 68, 34, , 7, 1, 4
2025/7/9, 71, 12, , 2, , 3
2025/7/10, 29, 9, , 3, 1, 3
2025/7/11, 19, 17, , 3, 1, 3
2025/7/12, 35, 32, , 1, 1, 3
2025/7/13, 57, 31, , 3, 1, 4
2025/7/14, 59, 30, , 3, , 5
2025/7/15, 60, 35, , 3, , 4
2025/7/16, 65, 37, , 6, 1, 4
2025/7/17, 66, 29, , 4, 1, 4
2025/7/18, 53, 22, , 1, 1, 2
2025/7/19, 30, 23, , 1, 1, 3
2025/7/20, 32, 15, , 2, 1, 2
2025/7/21, 21, 15, , 4, 1, 3
2025/7/22, 33, 16, , 1, , 2
2025/7/23, 29, 18, , 2, , 2
2025/7/24, 33, 18, , 2, , 3
2025/7/25, 37, 23, , 5, , 4
2025/7/26, 56, 23, , 6, , 4
2025/7/27, 56, 15, , 5, , 4
2025/7/28, 35, 18, , 5, , 3
2025/7/29, 45, 22, , 4, , 4
2025/7/30, 49, 20, , 4, , 4
2025/7/31, 46, 22, , 3, , 3
2025/8/1, 48, 20, , 3, , 3
2025/8/2, 49, 13, , 2, , 3
2025/8/3, 29, 9, , 2, 1, 3
2025/8/4, 29, 12, , 4, 1, 4
2025/8/5, 34, 20, , 5, 1, 2
2025/8/6, 48, 30, , 5, 1, 2
2025/8/7, 59, 34, , 8, 2, 3
2025/8/8, 72, 12, , 5, 1, 1
2025/8/9, 27, 8, , 4, 1, 2
2025/8/10, 19, 11, , 4, 1, 
2025/8/11, 31, 15, , 6, 2, 4
2025/8/12, 40, 19, , 4, , 2
2025/8/13, 34, 20, , 3, , 2
2025/8/14, 26, 16, , 6, , 2
2025/8/15, 29, 20, , 4, 1, 2
2025/8/16, 33, 17, , 4, 1, 2
2025/8/17, 34, 19, , 6, 1, 3
2025/8/18, 40, 10, , 5, 1, 3
2025/8/19, 26, 15, , 8, 1, 3
2025/8/20, 43, 20, , 8, 1, 2
2025/8/21, 51, 20, , 8, 1, 2
2025/8/22, 49, 26, , 11, 1, 2
2025/8/23, 63, 18, , 7, 1, 2
2025/8/24, 42, 21, , 6, 1, 1
2025/8/25, 48, 18, , 5, 1, 2
2025/8/26, 42, 20, , 10, 1, 2
2025/8/27, 42, 19, , 5, 1, 1
2025/8/28, 39, 18, , 4, 1, 1
2025/8/29, 33, 16, , 5, 1, 1
2025/8/30, 37, 16, , 5, 1, 2
2025/8/31, 42, 24, , 11, 1, 2
2025/9/1, 58, 33, , 14, 1, 3
2025/9/2, 80, 25, , 10, 1, 3
2025/9/3, 64, 26, , 10, 2, 4
2025/9/4, 64, 20, , 6, 1, 2
2025/9/5, 50, 14, , 5, 1, 2
2025/9/6, 33, 9, , 3, 1, 2
2025/9/7, 17, 8, , 4, , 2
2025/9/8, 17, 10, , 4, 1, 2
2025/9/9, 24, 16, , 5, 1, 3
2025/9/10, 38, 18, , 8, 1, 2
2025/9/11, 49, 22, , 6, 1, 2
2025/9/12, 58, 20, , 7, 2, 3
2025/9/13, 50, 19, , 6, 1, 2
2025/9/14, 44, 19, , 7, 2, 2
2025/9/15, 49, 24, , 8, 1, 2
2025/9/16, 55, 17, , 4, 1, 1
2025/9/17, 36, 18, , 3, 1, 
2025/9/18, 37, 14, , 6, , 2
2025/9/19, 33, 10, , 5, , 2
2025/9/20, 26, 17, , 6, 1, 2
2025/9/21, 45, 14, , 2, , 2
2025/9/22, 29, 19, , 2, , 1
2025/9/23, 36, 11, , 5, , 2
2025/9/24, 27, 16, , 5, , 2
2025/9/25, 37, 18, , 4, 1, 2
2025/9/26, 33, 19, , 3, 1, 2
2025/9/27, 36, 18, , 5, 1, 3
2025/9/28, 41, 27, , 11, 2, 4
2025/9/29, 61, 32, , 8, 1, 3
2025/9/30, 69, 26, , 5, 1, 3
2025/4/1, 42, 34, , 8, 1, 2
2025/4/2, 59, 41, , 11, 1, 3
2025/4/3, 59, 50, , 7, 1, 3
2025/4/4, 79, 49, , 13, , 4
